	0
0	Tell Ur Mom II - Winno (ft Heily)
1	Sài Gòn Đâu Có Lạnh - Changg x Lewiuy
2	PHI HÀNH GIA - RENJA x SLOW T x LIL WUYN x KAIN x SUGAR CANE
3	An Thần - LOW G ft THẮNG ( lofi ver by Gum) prod by Chill Denis
4	Back To Hometown - SOL7 [Thầy 7] (Rap Việt Mùa 2)
5	Lỡ say bye là bye - lemese X changg (sonbeat lofi mix)
6	GPS - NIDEBIG ft BINQANG , PURR ( PROD : HS YAFU )
7	LeeHi (이하이) - ONLY
8	an thần (ft.thắng)| low G | rap nhà làm
9	Mắt nai cha cha tune - Duy lion
10	Nếu mai chia tay ( Hieu Tran Chill RnB Version) - Monstar Ft. Amee
11	Lạc - Rhymastic
12	Cưa Là Đổ - Phát Hồ X2X (Đại Mèo Remix)
13	Ở NHÀ CHÁN QUÓ (Prod. KanaBeats)
14	bích phương - em bỏ hút thuốc chưa (feat. traitimtrongvang)(sonbeat x sún mix)
15	[DCOD] NGTANOISE (Người ta nói - remake) | VSOUL x MFREE x TUYEN VO|
16	Obito Ft. Hnhngan Live YOUR SMILE - Emma X Seachains X Obito
17	Thay Lòng (Lofi By NH4T) DIMZ x TVk x WindV / Tạm biệt nhé người em yêu ~
18	EM KHONG THE
19	Obito - LOST (BeeBB Remix)
20	Tlinh - Thích Quá Rùi Nà ft. Trung Trần (prod by @rpt.phongkhin )
21	2A - 6 - Cô Đơn Dành Cho Ai Remix
22	3107-3 (lofi ver. by VUX) - W/n x Nâu x Duongg x Titie
23	Orange x Hoàng Dũng - Khi Em Lớn (Lo-fi ver by Hawys)
24	Loving You Sunny - Kimmese Ft Đen ( Prod.by Touliver & JustaTee )
25	Kimmese ft JustaTee - Real Love ( Acoustic version ) Prod. by Touliver
26	Yêu Một Nguời Có Lẽ -=- MIU Le ft LOU Hoang
27	WREN EVANS - Thích Em Hơi Nhiều
28	Lần Hẹn Hò Đầu Tiên + Phố Đã Lên Đèn - Huyền Tâm Môn | Lo-Fi nhà làm
29	back to hometown sol7
30	HIEUTHUHAI - NGHE NHƯ TÌNH YÊU (FELIKS ALVIN REMIX) | HAWYS EDIT
31	Em Là Hoàng Hôn - Vang x CLoud 5
32	DAU CAN MOT BAI CA TINH YEU
33	ICEMAN - Sol7 ft MCK
34	SOOBIN - THÁNG NĂM (SPECIAL VERSION) FT. SLIM V
35	Nghe Như Tình Yêu - Hieuthuhai, Kewtiie (slowed + reverb)
36	Nếu Anh Thấy Lòng Mình Yếu Đuối - Tùa x CM1X
37	Việt - Hơn Cả Mây Trời (lofi ver by hawys)
38	Dịu Dàng Yêu - Đào Duy Quý [FREE DOWNLOAD]
39	Ánh Sao Và Bầu Trời - T.R.I x Cá ( Lofi ver by X. O)
40	Thức Giấc - Da LAB
41	fishy ft Trí Dũng - Forget me now
42	SUÝT NỮA THÌ (VER. Chuyến đi của thanh xuân)
43	Berlin
44	Khi co don em nho ai
45	Như Một Người Dưng (Ciray Remix) | Nguyễn Thạc Bảo Ngọc | Từng ngày anh vẫn bên em thế nhưng
46	DUYB & NOTAFRAID - HẾT NHẠC CON VỀ Ft RZ Mas
47	THANH XUÂN LÀ ANH - N.Dien X 2T f.t Shenlongz
48	She Neva Knows - Justatee ( Lofi Ver )
49	Nghe Như Tình Yêu (CM1X & VRT Remix) - HIEUTHUHAI
50	Chờ Lời Anh Nói - IVY Ft Crou Produce By OrionB Final
51	Dù Cho Mai Về Sau
52	Phía Sau Đôi Mắt - Anh Bạn Thành ft. SIDO (original.)
53	Lê Thiện Hiếu - Ooh Just You (BeeBB Remix)
54	Sinh Ra Đã Là Thứ Đối Lập Nhau Freak D Lofi Ver  Emcee L Da LAB ft Badbie
55	Thay Lòng Nal x TVK  Đại Mèo Remix
56	Dịu dàng em đến (Lofi) || Erik x Quanvrox
57	Cưới Thôi - Masew x Masiu x B Ray x TAP - Tik Tok
58	Xích Thêm Chút - RPT Groovie ft TLinh x RPT MCK
59	-237°C - HIEUTHUHAI x LOWNA
60	Để Nói Cho Nghe - Củ Cải x Bôn
61	MUỐN ĐƯỢC CÙNG EM' - FREAKY x CM1X (ft. QUỲNH GAI)
62	Kewtiie, Gill, marzuz - ROOM 808
63	24h - lyly ft. magazine (arrix & luxofons mix)
64	KHONG CAN CO MCK ft TLINH
65	Ái Nộ - Masew x Khoi Vu( Vinniedepooh ft Darling remix ) Hot TikTok
66	(2 7 1 1) Mang em qua đây - PhuBinh x Lara
67	Seachains x Summer Vee - HOLD YOU DOWN (Produce by Dreamble)
68	Chúng Ta Sau Này (Lofi) - Freak D
69	SON TUNG M-TP - CHAY NGAY DI ( Prod. by ONIONN. )
70	HURRYKNG, HIEUTHUHAI, MANBO - 'HẸN GẶP EM DƯỚI ÁNH TRĂNG' | (VRT REMIX)
71	Lop 13 - Tage x DANG ENG REMIX (JIANG Edit)
72	3107 1 2 3 W/n x Duongg x Nâu x TiTie.com
73	1 Phút - Andiez
74	𝙷𝚊𝚗𝚑 𝚙𝚑𝚞𝚌 𝚋𝚘 𝚛𝚘𝚒 𝚎𝚖_𝚜𝚕𝚘𝚠𝚎𝚍+𝚛𝚎𝚟𝚎𝚛𝚋
75	Người Em Cố Đô - Rum ft Đaa
76	ĐỘ TỘC 2 | FROM MIXI WITH LOVE - MASEW x PHÚC DU x PHÁO x ĐỘ MIXI
77	Câu Hứa Chưa Vẹn Tròn (Đại Mèo Remix) | Phát Huy T4 | Mình Đã Hứa Yêu Thật Lâu
78	[Single] 2 5 - Táo
79	Neu Ngay Ay - Soobin Hoang Son
80	Phố Đã Lên Đèn ||「Lofi Version by 1 9 6 7」
81	Honey -AnhVu (Prod By Goku Beats)
82	Trung Tự  Mẹ  Xa NhàDự Án Lofi 02
83	Bài Hát Của Em - VT (Prod by Chillin On Da Cloud)
84	Chúng Ta Của Hiện Tại
85	Chỉ Vì Quá Yêu Em - RUM | COVER
86	Sinh Ra Đã Là Thứ Đối Lập Nhau (Lofi)
87	𝖘𝖆𝖎 𝖌𝖔𝖓 𝖉𝖆𝖚 𝖈𝖔 𝖑𝖆𝖓𝖍 (𝖘𝖑𝖔𝖜𝖊𝖉) - 𝖈𝖍𝖆𝖓𝖌𝖌 𝖝 𝖑𝖊𝖜𝖎𝖚𝐲
